"","D1","D2","fear_mean","disgust_mean","approach_mean"
"Sp_001",-0.263885828039538,-0.0521882252269702,42.5555555555556,46.1944444444444,30.6666666666667
"Sp_002",-0.242607402865798,-0.54900541410989,61.6447368421053,70.3552631578947,47.8815789473684
"Sp_003",-0.115035585376448,0.997707670337536,14.84,15.32,9.89333333333333
"Sp_004",-0.196779993791121,-0.414890669435195,59.4210526315789,73.1052631578947,53.8684210526316
"Sp_005",-0.223179891040539,-0.312437629286344,28.1153846153846,30.1794871794872,28.3205128205128
"Sp_006",0.764512752178516,0.293329630106747,77.0731707317073,79.6585365853659,69
"Sp_007",-0.831641940441504,-0.256869058186789,16.7666666666667,18.5333333333333,15.8666666666667
"Sp_008",-0.842903835072831,-0.379420952050074,22.2121212121212,29.6666666666667,21.9393939393939
"Sp_009",-0.0138857477881992,-0.179217305557349,57.4883720930233,61.7906976744186,46.8139534883721
"Sp_010",-0.000789969827916906,-0.0500424890938868,58.1372549019608,68.6274509803922,47.1176470588235
"Sp_011",-0.437734916399345,-0.629385025598054,58.4166666666667,74.5277777777778,49.9722222222222
"Sp_012",-0.0544266736293488,0.118954071077904,65.6923076923077,70.7435897435897,50.9487179487179
"Sp_013",-0.295877239059372,-0.545552554178209,44,51.804347826087,34.6521739130435
"Sp_014",0.274814080621542,-0.47573184618166,65.9565217391304,76.1739130434783,58.0869565217391
"Sp_015",0.281957182693705,0.735234769516672,25.21875,25.34375,12.71875
"Sp_016",-0.852958180230977,-0.0623390092250585,18.4647887323944,26.5633802816901,14.9859154929577
"Sp_017",0.572711701729414,0.301283772831537,53.969696969697,82.0454545454545,49.4393939393939
"Sp_018",-0.792726822724201,-0.325625981567926,17.9574468085106,22.4255319148936,19.936170212766
"Sp_019",-0.463197114580835,0.0247952472953646,44.2077922077922,52.2727272727273,38.7532467532468
"Sp_020",-0.464638351565569,0.140853412655963,45.5882352941176,50.3921568627451,40.7843137254902
"Sp_021",-0.148076747676705,0.244845759623845,47.3617021276596,54.1914893617021,34.8297872340426
"Sp_022",-0.107418280733929,0.292895973151429,51.375,59.8958333333333,51.8958333333333
"Sp_023",0.680614822136881,0.396125607299594,76.7380952380952,75.0476190476191,56.9285714285714
"Sp_024",-0.115156093483959,0.270277867831744,48.4307692307692,57.7538461538462,38.4769230769231
"Sp_025",0.578260936126526,0.129198399041354,73.0571428571429,80.9142857142857,58.6285714285714
"Sp_026",0.095238291272785,-0.0691979181645103,61.3142857142857,62.9428571428571,49.9142857142857
"Sp_027",0.300416865174421,-0.368052348465588,58.2857142857143,64.5833333333333,45.6904761904762
"Sp_028",0.746723979945607,0.148461417665805,66.325,71.075,57.9
"Sp_029",0.74479513201787,0.331740363185702,68.7391304347826,73.8913043478261,53.3260869565217
"Sp_030",0.282394734441449,0.483723275801338,51.1111111111111,57.5833333333333,44.0833333333333
"Sp_031",0.163989885051277,-0.504665281310689,66.125,73.5833333333333,62.875
"Sp_032",-0.584508979307356,0.822512796140377,38.448275862069,44.4137931034483,34.4137931034483
"Sp_033",-0.4228110723779,0.196500765997491,33.4333333333333,37.2777777777778,32.9888888888889
"Sp_034",-0.337053218660057,0.18721963669444,34.6896551724138,37.2758620689655,31
"Sp_035",-0.323312938939224,0.083080670870735,39.2051282051282,48.1025641025641,36.5128205128205
"Sp_036",-0.408543788043453,-0.369744819549411,45.05,48.7,32.65
"Sp_037",0.349647296453975,0.502812413501461,72.1111111111111,76.9166666666667,57
"Sp_038",-0.340143831007276,0.308512117783247,40.3611111111111,48.8888888888889,37.1388888888889
"Sp_039",-0.0223641770492403,-0.233827108042088,56.375,60.05,50.8
"Sp_040",0.793964048013167,0.0165460955526384,75.72,75.38,56
"Sp_041",0.0384280337855552,0.119221135470375,54.8048780487805,59.1951219512195,41.4634146341463
"Sp_042",-0.36165569083294,-0.46398975430739,48.0123456790123,58.358024691358,40.4938271604938
"Sp_043",-0.220236621277288,-0.0615372549193737,36.6666666666667,43.4166666666667,31.3888888888889
"Sp_044",-0.241421172767357,-0.491719651219975,59.5142857142857,66.2285714285714,52.2285714285714
"Sp_045",-0.333172668418166,-0.128263791673057,42.8125,55,37.5
"Sp_046",-0.371871949866143,-0.174007895865839,40.8405797101449,50.3478260869565,32.7536231884058
"Sp_047",-0.712965683911834,-0.298265494675814,18.5714285714286,25.3428571428571,18.2285714285714
"Sp_049",0.116315670028799,-0.308715460614015,54.6511627906977,66.2790697674419,43.3023255813954
"Sp_050",0.0997509341278961,-0.441694203242314,57.8444444444444,67.1555555555556,47.6666666666667
"Sp_051",-0.532995138134809,-0.381332203552929,41.4324324324324,45.8108108108108,34.5675675675676
"Sp_052",-0.0623498889446324,-0.345819063200336,56.1447368421053,66.4473684210526,48.2763157894737
