"","D1","D2","D3","D4","D5","fear_mean","disgust_mean","approach_mean"
"Sp_045",-0.195893909658488,-0.107803498548206,-0.168283680995423,-0.413447599771027,0.210141367763111,42.8125,55,37.5
"Sp_046",-0.38744975191205,-0.197644140461552,-0.161812739381534,0.218411026303488,0.211297689572871,40.8405797101449,50.3478260869565,32.7536231884058
"Sp_047",-0.636337950537503,-0.273463295970742,-0.0325085510970922,-0.173055237820826,0.167128607029899,18.5714285714286,25.3428571428571,18.2285714285714
"Sp_049",0.107954705807475,-0.148615906117957,-0.0658430666250067,0.229419191775379,-0.469357185313414,54.6511627906977,66.2790697674419,43.3023255813954
"Sp_050",0.0906388450748029,-0.448178134275683,-0.231717280286944,-0.0589989653423866,0.136529319309556,57.8444444444444,67.1555555555556,47.6666666666667
"Sp_051",-0.525177034992906,-0.379562434132969,-0.0639367230335895,0.0692220908407417,0.0213835953025426,41.4324324324324,45.8108108108108,34.5675675675676
"Sp_052",-0.0704357366275339,-0.229892770947895,-0.430034754696644,0.0698507390027392,-0.16823737966332,56.1447368421053,66.4473684210526,48.2763157894737
"Sp_053",-0.103942850015111,-0.174985956578409,-0.419324810005727,0.354176139220434,0.199463744575955,54.1666666666667,60.7777777777778,37.4722222222222
"Sp_054",-0.173303129444825,-0.121275638080052,0.0870905637244835,0.6302723904718,-0.0105025262436447,52.7659574468085,55.5744680851064,44
"Sp_055",0.270427966673181,-0.0945142506136387,0.817179298931898,-0.0156566370425194,0.174421935250561,24.0294117647059,24,11.6176470588235
"Sp_056",-0.77195093523778,-0.27181388587432,-0.0305258494173488,-0.210879210321979,0.0219965415727952,16.5,28.4,20.55
"Sp_057",-0.137359404806888,0.126692790428823,0.885483711048505,0.283769642952381,-0.0443022493393248,18.0810810810811,23.5945945945946,14.7837837837838
"Sp_058",-0.516660797983672,0.414441273393716,0.0522679478127889,0.260947554461757,0.260953980234866,45.4358974358974,63.9487179487179,38.9230769230769
"Sp_059",-0.600473565527481,-0.369127372114101,0.0393794403215054,-0.303340142432928,0.221068017214725,24.0869565217391,40.3623188405797,26.1884057971014
"Sp_060",-0.128991635345185,0.0557360876065356,0.778505529182328,-0.10703362088969,0.239385482547507,15.5333333333333,17.9777777777778,14.2
"Sp_061",0.355608811971724,0.0320370520900964,-0.0170164578426197,0.266779274120975,0.400489540348317,52.4444444444444,61.0555555555556,40.8611111111111
"Sp_062",0.484870731818065,-0.181862754661984,-0.179463839162624,-0.300191145529592,-0.145697979272152,61.6,68.6888888888889,54.0444444444444
"Sp_063",-0.462734276581133,0.439402438108626,-0.108586942447879,0.307855740105505,-0.344733610315594,36.28125,47.5625,25.625
"Sp_064",-0.46588122675568,-0.0790273612647761,-0.205485307520559,0.312607447698699,-0.183412457473511,36.675,43,34.65
"Sp_065",0.323709156681835,-0.331517458202036,-0.00649508801814323,0.290294929009073,-0.256692492812144,69.0512820512821,79.4102564102564,49.3076923076923
"Sp_066",0.0293805387590823,-0.293455004771256,-0.299197345327164,-0.230328441019945,0.354857163619435,60.5142857142857,70.0571428571429,56.1428571428571
"Sp_067",0.229818175565877,-0.172022315269349,-0.0156953246488505,0.447411001952153,0.330503053957529,63.9444444444444,76.5277777777778,51.3333333333333
"Sp_068",0.319310219896701,-0.258804687127438,-0.261142476763964,0.221583023119335,-0.122441866923287,57.7575757575758,66.6060606060606,47.7575757575758
"Sp_069",0.511837835520201,0.0618931925056076,0.154595560164345,0.255168094477885,0.311113631224997,74.0740740740741,79.037037037037,65.8888888888889
"Sp_070",-0.677012161530628,0.00929516980073338,0.168827386786956,0.0453126964348204,-0.129154379067027,13.4285714285714,17.8928571428571,16.8928571428571
"Sp_071",-0.119237085209623,-0.230189963262639,-0.173853151579725,-0.08221598697039,0.42566968460087,64.3827160493827,65.7777777777778,56.7654320987654
"Sp_072",-0.605144384781087,-0.302337397234896,-0.0300040134491959,-0.210056876682571,-0.314449344245859,19.974358974359,21.6666666666667,16.9230769230769
"Sp_073",0.554016339110379,-0.292103726014051,-0.253986642605536,0.00864131143647452,-0.144100344044559,63.6216216216216,67.1891891891892,54.7297297297297
"Sp_074",0.0919551204604759,-0.357798208956582,-0.334302649155211,0.1389825508768,-0.219438624199799,54.0493827160494,61.4444444444444,45.4320987654321
"Sp_075",-0.653701470170823,-0.355281515444211,-0.135543972650446,-0.267001873312267,-0.138239168956255,36.4857142857143,50.5142857142857,36.0571428571429
"Sp_076",0.335834132564025,-0.215067448575493,-0.352341202854345,0.291185111891251,-0.0980448000481678,62.9076923076923,73,52.5538461538462
"Sp_077",-0.186252899667459,-0.199891442341753,-0.394950341512321,0.189066008822464,0.167767221522817,56.5625,62.5625,41.21875
"Sp_078",-0.287467815376851,-0.494571758020805,0.0640485664766614,-0.0617334569892145,0.17871358602274,52.1219512195122,58.0487804878049,44.9268292682927
"Sp_079",0.166138256313031,-0.148757521614187,-0.55187362538848,-0.116332911974316,-0.159312996688882,76.425,77.325,63.325
"Sp_080",0.166355464829228,-0.256814953062991,-0.112927441721839,0.451275464805283,0.0280841601119457,64.1842105263158,64.8421052631579,48.3157894736842
"Sp_081",-0.609902187116473,-0.261002805001455,-0.13835475534283,-0.035142749451657,0.255566749540824,33.9736842105263,45.6052631578947,31.2631578947368
"Sp_082",0.478840333206012,-0.226144782619896,0.136825135503036,-0.274518287142437,-0.283485065813869,71.4054054054054,74.2972972972973,62.0540540540541
"Sp_083",-0.0656619769852735,-0.413233899776043,-0.101303247216211,0.0345247621673116,0.339039021502488,50,58.9444444444444,48.1944444444444
"Sp_084",0.386710107455715,-0.107221842039055,-0.330885110857914,0.235077731071464,-0.155747609598935,62,64.5882352941177,54.8529411764706
"Sp_085",0.683647128927282,-0.165964098616579,-0.00315798925121233,-0.0572071098128979,0.0102797209799793,63.6842105263158,64.9473684210526,55.5789473684211
"Sp_086",0.42460837585736,-0.159234404023449,0.101425656991665,0.293174030493462,0.174862604404223,53.6129032258064,70.8387096774194,50.3870967741936
"Sp_087",-0.306605097069161,-0.0215451319648247,-0.0371320222827722,0.0170112009133474,-0.609264828367196,63.8026315789474,79,59.8815789473684
"Sp_088",0.281539565598085,-0.379522059901334,-0.368677369955375,-0.0899932207361486,0.0297490351560818,64.4634146341463,79.0975609756098,59.3414634146341
"Sp_089",0.660330657481965,-0.103937692845563,-0.112699621342891,-0.0751709276425049,-0.208132107628273,63.0888888888889,71.4,59.1111111111111
"Sp_090",0.452710818125727,-0.277194096675352,-0.00432079056221635,-0.00236572761707915,0.329841406236306,69.5757575757576,78.0606060606061,51.8484848484849
"Sp_091",0.338959674684365,-0.239162454933517,-0.025534798432556,0.209957191066008,0.408002523666341,72.4722222222222,75.2222222222222,57.1666666666667
"Sp_092",-0.244559010720325,-0.0657893510050036,-0.507238086927283,0.0500845778009713,-0.0358177061615051,42.65,51.425,36.975
"Sp_093",-0.591155964396686,-0.0534755651873659,0.0347816327277686,-0.367327672317897,-0.217762966351477,18.8333333333333,21.6111111111111,22.5277777777778
"Sp_094",0.371337957231319,-0.269704267451411,-0.0700318889740835,0.276573204709361,-0.311282380159364,74.8529411764706,79.4705882352941,63.9705882352941
"Sp_095",0.474417244609743,-0.35968091691822,-0.132592964840503,0.0205396552260623,-0.251261966793276,61.7162162162162,62.3108108108108,49.6756756756757
"Sp_096",0.492955009049214,-0.319515658661727,-0.135700255707058,-0.175258015434103,-0.290465236423168,67.3142857142857,73.0285714285714,55.4857142857143
"Sp_097",0.253530296026447,0.184505840767603,0.404664797179634,0.327760059880777,0.339403577477118,67.5853658536585,80.5853658536585,49.390243902439
"Sp_098",-0.00220350454894844,0.195265869019531,1.01854288475521,0.0576714835042888,-0.283823918089526,6.02631578947368,6.47368421052632,5.26315789473684
"Sp_099",0.324207096076527,0.481937922654862,-0.139093402280757,-0.47041145841228,-0.219632096858461,62.9113924050633,68.9620253164557,49.7341772151899
"Sp_100",0.633727372214147,-0.05384592370241,0.184298469063912,-0.0318769057794582,-0.165645697496167,79.6,88,65.8857142857143
"Sp_101",0.421858217353472,0.117473300367864,0.470972726781681,-0.223645997408413,-0.061878054963976,67.5428571428571,64,57.2
"Sp_102",-0.170842833305218,0.239349844112749,0.948782820022627,0.121392465078953,0.00695440049378531,1.82222222222222,2.53333333333333,4.4
"Sp_103",-0.0512010742405985,0.62147183019254,-0.0627437594435408,0.0831486169021235,-0.394703687647266,39.6904761904762,46.8452380952381,31.047619047619
"Sp_104",0.190077781728915,0.609680323399654,-0.425078927052678,0.0228637376281931,0.0159074979924363,76.2820512820513,89.2564102564103,61.5512820512821
"Sp_105",0.60631920334352,0.0300858072813358,0.306873279840377,-0.111385738756755,0.293750869010454,65.025,69,52.1
"Sp_106",0.292745956247567,0.178134027627437,0.0064120705437898,0.389880442714154,0.0434746378484939,45.9605263157895,53.5263157894737,38.9605263157895
"Sp_107",0.183229843640486,0.0693483192656263,0.217604641709169,0.229907724989944,0.475947708541209,65.6470588235294,69.8235294117647,52.2941176470588
"Sp_108",0.0774891927638984,-0.49669274711568,-0.193193821145669,-0.260390022415439,0.0534080625771473,63.8974358974359,70.3589743589744,50.7692307692308
"Sp_109",0.169216830602746,0.093089617075608,0.0581807005672314,0.273326936452535,0.423271853321316,57.2972972972973,64.8918918918919,45.7837837837838
"Sp_110",0.0314503670341618,-0.358934982479523,-0.330960358977965,0.166031621620238,0.0098620064532457,60.1857142857143,67.8285714285714,45.1571428571429
"Sp_111",0.0404571756592722,0.581031058031113,-0.0114999739078793,-0.179673997175397,0.0625925270604737,67.0571428571429,68.0857142857143,46.5142857142857
"Sp_112",0.206048604575834,-0.0713964529043083,-0.199783061902847,0.373261814612056,-0.347358746659573,47.4054054054054,57.5405405405405,39.2432432432432
"Sp_113",-0.33882879346123,0.0224719836749317,-0.385411515133828,-0.157188443764262,0.336348556938653,58.780487804878,66.5365853658537,43.2926829268293
"Sp_114",0.573610670599177,-0.134323711141761,-0.0878556262508118,-0.123426146167292,0.164328060006085,75.7368421052632,83.0526315789474,61.9210526315789
"Sp_115",0.336416811025851,-0.224515469878202,-0.00110340932840477,-0.552411570622412,0.0247137455566339,83.1470588235294,84.4411764705882,76.7941176470588
"Sp_116",0.541083445347113,-0.145715313053197,-0.127959343461633,0.0714876503493466,0.247390671990271,70.8285714285714,85.2571428571429,59.8285714285714
"Sp_117",-0.650490677898452,0.169220942887914,-0.0266401535322093,-0.50157085246949,0.168727369849261,15.3684210526316,19.7894736842105,12.5789473684211
"Sp_118",0.0345877791877804,-0.295464046712761,-0.06029666095901,-0.450900379013065,0.17279106224466,61.3896103896104,70.6103896103896,49.5584415584416
